organisationunitname,date,value,product
Kirinyaga County,2021-07-01,1303,DMPA IM
Kirinyaga County,2021-08-01,878,DMPA IM
Kirinyaga County,2021-09-01,814,DMPA IM
Kirinyaga County,2021-10-01,901,DMPA IM
Kirinyaga County,2021-11-01,2756,DMPA IM
Kirinyaga County,2021-12-01,3063,DMPA IM
Kirinyaga County,2022-01-01,3037,DMPA IM
Kirinyaga County,2022-02-01,3733,DMPA IM
Kirinyaga County,2022-03-01,3670,DMPA IM
Kirinyaga County,2022-04-01,3745,DMPA IM
Kirinyaga County,2022-05-01,4602,DMPA IM
Kirinyaga County,2022-06-01,4413,DMPA IM
Kisii County,2021-07-01,1069,DMPA IM
Kisii County,2021-08-01,666,DMPA IM
Kisii County,2021-09-01,515,DMPA IM
Kisii County,2021-10-01,324,DMPA IM
Kisii County,2021-11-01,460,DMPA IM
Kisii County,2021-12-01,375,DMPA IM
Kisii County,2022-01-01,257,DMPA IM
Kisii County,2022-02-01,277,DMPA IM
Kisii County,2022-03-01,322,DMPA IM
Kisii County,2022-04-01,231,DMPA IM
Kisii County,2022-05-01,374,DMPA IM
Kisii County,2022-06-01,336,DMPA IM
Kisumu County,2021-07-01,6755,DMPA IM
Kisumu County,2021-08-01,6042,DMPA IM
Kisumu County,2021-09-01,6830,DMPA IM
Kisumu County,2021-10-01,5929,DMPA IM
Kisumu County,2021-11-01,7079,DMPA IM
Kisumu County,2021-12-01,6691,DMPA IM
Kisumu County,2022-01-01,6338,DMPA IM
Kisumu County,2022-02-01,5809,DMPA IM
Kisumu County,2022-03-01,7733,DMPA IM
Kisumu County,2022-04-01,5507,DMPA IM
Kisumu County,2022-05-01,5267,DMPA IM
Kisumu County,2022-06-01,5471,DMPA IM
Kitui County,2021-07-01,3658,DMPA IM
Kitui County,2021-08-01,3999,DMPA IM
Kitui County,2021-09-01,5608,DMPA IM
Kitui County,2021-10-01,9237,DMPA IM
Kitui County,2021-11-01,8845,DMPA IM
Kitui County,2021-12-01,8570,DMPA IM
Kitui County,2022-01-01,9808,DMPA IM
Kitui County,2022-02-01,8786,DMPA IM
Kitui County,2022-03-01,9027,DMPA IM
Kitui County,2022-04-01,8079,DMPA IM
Kitui County,2022-05-01,7904,DMPA IM
Kitui County,2022-06-01,7982,DMPA IM
Kwale County,2021-07-01,5765,DMPA IM
Kwale County,2021-08-01,6951,DMPA IM
Kwale County,2021-09-01,5016,DMPA IM
Kwale County,2021-10-01,6302,DMPA IM
Kwale County,2021-11-01,7666,DMPA IM
Kwale County,2021-12-01,6009,DMPA IM
Kwale County,2022-01-01,6546,DMPA IM
Kwale County,2022-02-01,3544,DMPA IM
Kwale County,2022-03-01,5659,DMPA IM
Kwale County,2022-04-01,4894,DMPA IM
Kwale County,2022-05-01,5218,DMPA IM
Kwale County,2022-06-01,5623,DMPA IM
Laikipia County,2021-07-01,1703,DMPA IM
Laikipia County,2021-08-01,1507,DMPA IM
Laikipia County,2021-09-01,2266,DMPA IM
Laikipia County,2021-10-01,2883,DMPA IM
Laikipia County,2021-11-01,3512,DMPA IM
Laikipia County,2021-12-01,2340,DMPA IM
Laikipia County,2022-01-01,2553,DMPA IM
Laikipia County,2022-02-01,2714,DMPA IM
Laikipia County,2022-03-01,3673,DMPA IM
Laikipia County,2022-04-01,2984,DMPA IM
Laikipia County,2022-05-01,4603,DMPA IM
Laikipia County,2022-06-01,3422,DMPA IM
Lamu County,2021-07-01,691,DMPA IM
Lamu County,2021-08-01,778,DMPA IM
Lamu County,2021-09-01,640,DMPA IM
Lamu County,2021-10-01,698,DMPA IM
Lamu County,2021-11-01,831,DMPA IM
Lamu County,2021-12-01,509,DMPA IM
Lamu County,2022-01-01,701,DMPA IM
Lamu County,2022-02-01,595,DMPA IM
Lamu County,2022-03-01,441,DMPA IM
Lamu County,2022-04-01,585,DMPA IM
Lamu County,2022-05-01,1313,DMPA IM
Lamu County,2022-06-01,1070,DMPA IM
Machakos County,2021-07-01,9445,DMPA IM
Machakos County,2021-08-01,11667,DMPA IM
Machakos County,2021-09-01,10435,DMPA IM
Machakos County,2021-10-01,8276,DMPA IM
Machakos County,2021-11-01,16856,DMPA IM
Machakos County,2021-12-01,12111,DMPA IM
Machakos County,2022-01-01,9338,DMPA IM
Machakos County,2022-02-01,6887,DMPA IM
Machakos County,2022-03-01,5085,DMPA IM
Machakos County,2022-04-01,8385,DMPA IM
Machakos County,2022-05-01,9891,DMPA IM
Machakos County,2022-06-01,8170,DMPA IM
Makueni County,2021-07-01,2680,DMPA IM
Makueni County,2021-08-01,4025,DMPA IM
Makueni County,2021-09-01,8395,DMPA IM
Makueni County,2021-10-01,8207,DMPA IM
Makueni County,2021-11-01,8079,DMPA IM
Makueni County,2021-12-01,7790,DMPA IM
Makueni County,2022-01-01,9113,DMPA IM
Makueni County,2022-02-01,6876,DMPA IM
Makueni County,2022-03-01,6729,DMPA IM
Makueni County,2022-04-01,5754,DMPA IM
Makueni County,2022-05-01,6944,DMPA IM
Makueni County,2022-06-01,9762,DMPA IM
Mandera County,2021-07-01,103,DMPA IM
Mandera County,2021-08-01,78,DMPA IM
Mandera County,2021-09-01,109,DMPA IM
Mandera County,2021-10-01,151,DMPA IM
Mandera County,2021-11-01,190,DMPA IM
Mandera County,2021-12-01,289,DMPA IM
Mandera County,2022-01-01,62,DMPA IM
Mandera County,2022-02-01,126,DMPA IM
Mandera County,2022-03-01,87,DMPA IM
Mandera County,2022-04-01,46,DMPA IM
Mandera County,2022-05-01,146,DMPA IM
Mandera County,2022-06-01,150,DMPA IM
Marsabit County,2021-07-01,523,DMPA IM
Marsabit County,2021-08-01,511,DMPA IM
Marsabit County,2021-09-01,537,DMPA IM
Marsabit County,2021-10-01,476,DMPA IM
Marsabit County,2021-11-01,506,DMPA IM
Marsabit County,2021-12-01,539,DMPA IM
Marsabit County,2022-01-01,457,DMPA IM
Marsabit County,2022-02-01,380,DMPA IM
Marsabit County,2022-03-01,365,DMPA IM
Marsabit County,2022-04-01,440,DMPA IM
Marsabit County,2022-05-01,302,DMPA IM
Marsabit County,2022-06-01,466,DMPA IM
Meru County,2021-07-01,2775,DMPA IM
Meru County,2021-08-01,2053,DMPA IM
Meru County,2021-09-01,1994,DMPA IM
Meru County,2021-10-01,6344,DMPA IM
Meru County,2021-11-01,5213,DMPA IM
Meru County,2021-12-01,5989,DMPA IM
Meru County,2022-01-01,6497,DMPA IM
Meru County,2022-02-01,5545,DMPA IM
Meru County,2022-03-01,5664,DMPA IM
Meru County,2022-04-01,4270,DMPA IM
Meru County,2022-05-01,5243,DMPA IM
Meru County,2022-06-01,4026,DMPA IM
Migori County,2021-07-01,1450,DMPA IM
Migori County,2021-08-01,3689,DMPA IM
Migori County,2021-09-01,5440,DMPA IM
Migori County,2021-10-01,5364,DMPA IM
Migori County,2021-11-01,6237,DMPA IM
Migori County,2021-12-01,6161,DMPA IM
Migori County,2022-01-01,6439,DMPA IM
Migori County,2022-02-01,6630,DMPA IM
Migori County,2022-03-01,6818,DMPA IM
Migori County,2022-04-01,6049,DMPA IM
Migori County,2022-05-01,6562,DMPA IM
Migori County,2022-06-01,7308,DMPA IM
Mombasa County,2021-07-01,4913,DMPA IM
Mombasa County,2021-08-01,4539,DMPA IM
Mombasa County,2021-09-01,4580,DMPA IM
Mombasa County,2021-10-01,4915,DMPA IM
Mombasa County,2021-11-01,4808,DMPA IM
Mombasa County,2021-12-01,5170,DMPA IM
Mombasa County,2022-01-01,5161,DMPA IM
Mombasa County,2022-02-01,4996,DMPA IM
Mombasa County,2022-03-01,4194,DMPA IM
Mombasa County,2022-04-01,2733,DMPA IM
Mombasa County,2022-05-01,2141,DMPA IM
Mombasa County,2022-06-01,4319,DMPA IM
Muranga County,2021-07-01,2908,DMPA IM
Muranga County,2021-08-01,2289,DMPA IM
Muranga County,2021-09-01,3500,DMPA IM
Muranga County,2021-10-01,3152,DMPA IM
Muranga County,2021-11-01,2186,DMPA IM
Muranga County,2021-12-01,2033,DMPA IM
Muranga County,2022-01-01,1890,DMPA IM
Muranga County,2022-02-01,1567,DMPA IM
Muranga County,2022-03-01,1635,DMPA IM
Muranga County,2022-04-01,1060,DMPA IM
Muranga County,2022-05-01,1161,DMPA IM
Muranga County,2022-06-01,894,DMPA IM
Nairobi County,2021-07-01,4014,DMPA IM
Nairobi County,2021-08-01,3634,DMPA IM
Nairobi County,2021-09-01,12664,DMPA IM
Nairobi County,2021-10-01,9746,DMPA IM
Nairobi County,2021-11-01,6855,DMPA IM
Nairobi County,2021-12-01,7192,DMPA IM
Nairobi County,2022-01-01,5644,DMPA IM
Nairobi County,2022-02-01,4208,DMPA IM
Nairobi County,2022-03-01,5026,DMPA IM
Nairobi County,2022-04-01,10532,DMPA IM
Nairobi County,2022-05-01,8953,DMPA IM
Nairobi County,2022-06-01,8053,DMPA IM
Nakuru County,2021-07-01,6604,DMPA IM
Nakuru County,2021-08-01,6910,DMPA IM
Nakuru County,2021-09-01,13487,DMPA IM
Nakuru County,2021-10-01,18375,DMPA IM
Nakuru County,2021-11-01,12524,DMPA IM
Nakuru County,2021-12-01,12670,DMPA IM
Nakuru County,2022-01-01,11949,DMPA IM
Nakuru County,2022-02-01,8919,DMPA IM
Nakuru County,2022-03-01,9006,DMPA IM
Nakuru County,2022-04-01,7004,DMPA IM
Nakuru County,2022-05-01,7728,DMPA IM
Nakuru County,2022-06-01,11344,DMPA IM
Nandi County,2021-07-01,4319,DMPA IM
Nandi County,2021-08-01,3969,DMPA IM
Nandi County,2021-09-01,2601,DMPA IM
Nandi County,2021-10-01,3913,DMPA IM
Nandi County,2021-11-01,8077,DMPA IM
Nandi County,2021-12-01,6071,DMPA IM
Nandi County,2022-01-01,6119,DMPA IM
Nandi County,2022-02-01,6326,DMPA IM
Nandi County,2022-03-01,7477,DMPA IM
Nandi County,2022-04-01,7294,DMPA IM
Nandi County,2022-05-01,10710,DMPA IM
Nandi County,2022-06-01,7875,DMPA IM
Narok County,2021-07-01,4763,DMPA IM
Narok County,2021-08-01,5946,DMPA IM
Narok County,2021-09-01,4721,DMPA IM
Narok County,2021-10-01,3073,DMPA IM
Narok County,2021-11-01,2650,DMPA IM
Narok County,2021-12-01,1396,DMPA IM
Narok County,2022-01-01,1396,DMPA IM
Narok County,2022-02-01,811,DMPA IM
Narok County,2022-03-01,1138,DMPA IM
Narok County,2022-04-01,612,DMPA IM
Narok County,2022-05-01,1111,DMPA IM
Narok County,2022-06-01,2831,DMPA IM
Nyamira County,2021-07-01,7828,DMPA IM
Nyamira County,2021-08-01,8419,DMPA IM
Nyamira County,2021-09-01,7782,DMPA IM
Nyamira County,2021-10-01,7564,DMPA IM
Nyamira County,2021-11-01,7336,DMPA IM
Nyamira County,2021-12-01,6930,DMPA IM
Nyamira County,2022-01-01,5954,DMPA IM
Nyamira County,2022-02-01,6029,DMPA IM
Nyamira County,2022-03-01,9440,DMPA IM
Nyamira County,2022-04-01,9507,DMPA IM
Nyamira County,2022-05-01,8864,DMPA IM
Nyamira County,2022-06-01,8871,DMPA IM
Nyandarua County,2021-07-01,1747,DMPA IM
Nyandarua County,2021-08-01,1800,DMPA IM
Nyandarua County,2021-09-01,3009,DMPA IM
Nyandarua County,2021-10-01,2540,DMPA IM
Nyandarua County,2021-11-01,3343,DMPA IM
Nyandarua County,2021-12-01,3472,DMPA IM
Nyandarua County,2022-01-01,3232,DMPA IM
Nyandarua County,2022-02-01,2386,DMPA IM
Nyandarua County,2022-03-01,2439,DMPA IM
Nyandarua County,2022-04-01,1738,DMPA IM
Nyandarua County,2022-05-01,1842,DMPA IM
Nyandarua County,2022-06-01,3004,DMPA IM
Nyeri County,2021-07-01,3161,DMPA IM
Nyeri County,2021-08-01,2892,DMPA IM
Nyeri County,2021-09-01,3546,DMPA IM
Nyeri County,2021-10-01,4315,DMPA IM
Nyeri County,2021-11-01,3644,DMPA IM
Nyeri County,2021-12-01,4265,DMPA IM
Nyeri County,2022-01-01,4630,DMPA IM
Nyeri County,2022-02-01,3109,DMPA IM
Nyeri County,2022-03-01,3909,DMPA IM
Nyeri County,2022-04-01,4000,DMPA IM
Nyeri County,2022-05-01,3653,DMPA IM
Nyeri County,2022-06-01,3375,DMPA IM
Samburu County,2021-07-01,1473,DMPA IM
Samburu County,2021-08-01,1192,DMPA IM
Samburu County,2021-09-01,1461,DMPA IM
Samburu County,2021-10-01,1791,DMPA IM
Samburu County,2021-11-01,1560,DMPA IM
Samburu County,2021-12-01,1300,DMPA IM
Samburu County,2022-01-01,1521,DMPA IM
Samburu County,2022-02-01,1120,DMPA IM
Samburu County,2022-03-01,1141,DMPA IM
Samburu County,2022-04-01,952,DMPA IM
Samburu County,2022-05-01,766,DMPA IM
Samburu County,2022-06-01,629,DMPA IM
Siaya County,2021-07-01,884,DMPA IM
Siaya County,2021-08-01,628,DMPA IM
Siaya County,2021-09-01,3451,DMPA IM
Siaya County,2021-10-01,4625,DMPA IM
Siaya County,2021-11-01,4940,DMPA IM
Siaya County,2021-12-01,5482,DMPA IM
Siaya County,2022-01-01,5808,DMPA IM
Siaya County,2022-02-01,4931,DMPA IM
Siaya County,2022-03-01,6029,DMPA IM
Siaya County,2022-04-01,5163,DMPA IM
Siaya County,2022-05-01,5079,DMPA IM
Siaya County,2022-06-01,4486,DMPA IM
Taita Taveta County,2021-07-01,2436,DMPA IM
Taita Taveta County,2021-08-01,2376,DMPA IM
Taita Taveta County,2021-09-01,2512,DMPA IM
Taita Taveta County,2021-10-01,2780,DMPA IM
Taita Taveta County,2021-11-01,2801,DMPA IM
Taita Taveta County,2021-12-01,2908,DMPA IM
Taita Taveta County,2022-01-01,3005,DMPA IM
Taita Taveta County,2022-02-01,2937,DMPA IM
Taita Taveta County,2022-03-01,3015,DMPA IM
Taita Taveta County,2022-04-01,2800,DMPA IM
Taita Taveta County,2022-05-01,3117,DMPA IM
Taita Taveta County,2022-06-01,2694,DMPA IM
Tana River County,2021-07-01,1019,DMPA IM
Tana River County,2021-08-01,952,DMPA IM
Tana River County,2021-09-01,995,DMPA IM
Tana River County,2021-10-01,884,DMPA IM
Tana River County,2021-11-01,1107,DMPA IM
Tana River County,2021-12-01,895,DMPA IM
Tana River County,2022-01-01,1157,DMPA IM
Tana River County,2022-02-01,720,DMPA IM
Tana River County,2022-03-01,857,DMPA IM
Tana River County,2022-04-01,1028,DMPA IM
Tana River County,2022-05-01,1202,DMPA IM
Tana River County,2022-06-01,1445,DMPA IM
Tharaka Nithi County,2021-07-01,3279,DMPA IM
Tharaka Nithi County,2021-08-01,5258,DMPA IM
Tharaka Nithi County,2021-09-01,4091,DMPA IM
Tharaka Nithi County,2021-10-01,3588,DMPA IM
Tharaka Nithi County,2021-11-01,3180,DMPA IM
Tharaka Nithi County,2021-12-01,2918,DMPA IM
Tharaka Nithi County,2022-01-01,2615,DMPA IM
Tharaka Nithi County,2022-02-01,2134,DMPA IM
Tharaka Nithi County,2022-03-01,2010,DMPA IM
Tharaka Nithi County,2022-04-01,3803,DMPA IM
Tharaka Nithi County,2022-05-01,4515,DMPA IM
Tharaka Nithi County,2022-06-01,4311,DMPA IM
Trans Nzoia County,2021-07-01,4802,DMPA IM
Trans Nzoia County,2021-08-01,4939,DMPA IM
Trans Nzoia County,2021-09-01,5915,DMPA IM
Trans Nzoia County,2021-10-01,5379,DMPA IM
Trans Nzoia County,2021-11-01,6248,DMPA IM
Trans Nzoia County,2021-12-01,6336,DMPA IM
Trans Nzoia County,2022-01-01,6318,DMPA IM
Trans Nzoia County,2022-02-01,5712,DMPA IM
Trans Nzoia County,2022-03-01,5974,DMPA IM
Trans Nzoia County,2022-04-01,5692,DMPA IM
Trans Nzoia County,2022-05-01,6268,DMPA IM
Trans Nzoia County,2022-06-01,6684,DMPA IM
Turkana County,2021-07-01,1185,DMPA IM
Turkana County,2021-08-01,1660,DMPA IM
Turkana County,2021-09-01,1288,DMPA IM
Turkana County,2021-10-01,1261,DMPA IM
Turkana County,2021-11-01,1469,DMPA IM
Turkana County,2021-12-01,1300,DMPA IM
Turkana County,2022-01-01,1239,DMPA IM
Turkana County,2022-02-01,1665,DMPA IM
Turkana County,2022-03-01,1439,DMPA IM
Turkana County,2022-04-01,1168,DMPA IM
Turkana County,2022-05-01,1399,DMPA IM
Turkana County,2022-06-01,1344,DMPA IM
Uasin Gishu County,2021-07-01,3776,DMPA IM
Uasin Gishu County,2021-08-01,2443,DMPA IM
Uasin Gishu County,2021-09-01,3468,DMPA IM
Uasin Gishu County,2021-10-01,7110,DMPA IM
Uasin Gishu County,2021-11-01,7291,DMPA IM
Uasin Gishu County,2021-12-01,5670,DMPA IM
Uasin Gishu County,2022-01-01,5962,DMPA IM
Uasin Gishu County,2022-02-01,4927,DMPA IM
Uasin Gishu County,2022-03-01,7414,DMPA IM
Uasin Gishu County,2022-04-01,6637,DMPA IM
Uasin Gishu County,2022-05-01,6851,DMPA IM
Uasin Gishu County,2022-06-01,7831,DMPA IM
Vihiga County,2021-07-01,1303,DMPA IM
Vihiga County,2021-08-01,2526,DMPA IM
Vihiga County,2021-09-01,2814,DMPA IM
Vihiga County,2021-10-01,2510,DMPA IM
Vihiga County,2021-11-01,3017,DMPA IM
Vihiga County,2021-12-01,2930,DMPA IM
Vihiga County,2022-01-01,2625,DMPA IM
Vihiga County,2022-02-01,2485,DMPA IM
Vihiga County,2022-03-01,2669,DMPA IM
Vihiga County,2022-04-01,2039,DMPA IM
Vihiga County,2022-05-01,3040,DMPA IM
Vihiga County,2022-06-01,3069,DMPA IM
Wajir County,2021-07-01,239,DMPA IM
Wajir County,2021-08-01,341,DMPA IM
Wajir County,2021-09-01,341,DMPA IM
Wajir County,2021-10-01,608,DMPA IM
Wajir County,2021-11-01,270,DMPA IM
Wajir County,2021-12-01,391,DMPA IM
Wajir County,2022-01-01,404,DMPA IM
Wajir County,2022-02-01,246,DMPA IM
Wajir County,2022-03-01,381,DMPA IM
Wajir County,2022-04-01,258,DMPA IM
Wajir County,2022-05-01,221,DMPA IM
Wajir County,2022-06-01,284,DMPA IM
West Pokot County,2021-07-01,1610,DMPA IM
West Pokot County,2021-08-01,1294,DMPA IM
West Pokot County,2021-09-01,1735,DMPA IM
West Pokot County,2021-10-01,1440,DMPA IM
West Pokot County,2021-11-01,1361,DMPA IM
West Pokot County,2021-12-01,1386,DMPA IM
West Pokot County,2022-01-01,1205,DMPA IM
West Pokot County,2022-02-01,856,DMPA IM
West Pokot County,2022-03-01,1326,DMPA IM
West Pokot County,2022-04-01,995,DMPA IM
West Pokot County,2022-05-01,1381,DMPA IM
West Pokot County,2022-06-01,1461,DMPA IM
Baringo County,2021-07-01,34,DMPA SC
Baringo County,2021-08-01,23,DMPA SC
Baringo County,2021-09-01,35,DMPA SC
Baringo County,2021-10-01,14,DMPA SC
Baringo County,2021-11-01,36,DMPA SC
Baringo County,2021-12-01,7,DMPA SC
Baringo County,2022-01-01,3,DMPA SC
Baringo County,2022-02-01,NA,DMPA SC
Baringo County,2022-03-01,27,DMPA SC
Baringo County,2022-04-01,15,DMPA SC
Baringo County,2022-05-01,12,DMPA SC
Baringo County,2022-06-01,1,DMPA SC
Bomet County,2021-07-01,6,DMPA SC
Bomet County,2021-08-01,9,DMPA SC
Bomet County,2021-09-01,13,DMPA SC
Bomet County,2021-10-01,2,DMPA SC
Bomet County,2021-11-01,NA,DMPA SC
Bomet County,2021-12-01,42,DMPA SC
Bomet County,2022-01-01,40,DMPA SC
Bomet County,2022-02-01,NA,DMPA SC
Bomet County,2022-03-01,NA,DMPA SC
Bomet County,2022-04-01,NA,DMPA SC
Bomet County,2022-05-01,30,DMPA SC
Bomet County,2022-06-01,3,DMPA SC
Bungoma County,2021-07-01,NA,DMPA SC
Bungoma County,2021-08-01,78,DMPA SC
Bungoma County,2021-09-01,9,DMPA SC
