"Report_ID","Service_Name","Channel","Customer_Name","State","Ticket_Open_Time","Ticket_Resp_Time","Issue_Res_Time","Fault_Type","Operator","Manager","Ticket_Close_Time","Ticket_Status","Business_Status","Response_Time","Resolve_Time","Weekdays","Hour_Of_Day"
"AXA-20201218-4166-WiFi6","WiFI - 6","WebForm","SupaTram","CROSS RIVER",2020-12-18 15:30:31,2020-12-18 15:41:16,2020-12-18 15:46:20,"Customers End","Akin","Wale",2020-12-18 21:12:52,"Completed","Closed","00:10:45","00:05:04","Friday"," 3PM"
"AXA-20201228-2737-WiFi7","WiFI - 7","Social Media","PrinceLine","IMO",2020-12-28 14:43:04,2020-12-28 14:43:34,2020-12-28 18:28:17,"Customers End","Akin","Wale",2020-12-28 23:41:36,"Completed","Closed","00:00:30","03:44:43","Monday"," 2PM"
"AXA-20201231-1381-WLESS","Wireless","Social Media","Transnational","KATSINA",2020-12-31 19:55:03,2020-12-31 20:01:35,2020-12-31 21:39:17,"Customers End","Akin","Wale",2021-01-02 06:14:24,"Completed","Closed","00:06:32","01:37:42","Thursday"," 7PM"
"AXA-20201201-3015-ICS","Interconnection Services","Email","Denna","KEBBI",2020-12-01 11:29:53,2020-12-01 11:40:24,2020-12-01 16:43:12,"Customers End","Akin","Wale",2020-12-01 20:03:43,"Completed","Closed","00:10:31","05:02:48","Tuesday","11AM"
"AXA-20201223-5220-HSE","High speed Internet","Phone Call","PWAN","KANO",2020-12-23 15:53:19,2020-12-23 16:01:53,2020-12-23 16:18:40,"Customers End","Akin","Wale",2020-12-23 20:40:29,"Completed","Closed","00:08:34","00:16:47","Wednesday"," 3PM"
"AXA-20201216-4719-CBS","Cloud-based services","Email","Bates","OGUN",2020-12-16 13:17:49,2020-12-16 13:25:58,2020-12-16 16:02:26,"Routine Service","Akin","Wale",2020-12-16 21:15:01,"Completed","Closed","00:08:09","02:36:28","Wednesday"," 1PM"
"AXA-20201218-5109-ICS","Interconnection Services","USSD","Jacobs","RIVERS",2020-12-18 13:21:26,2020-12-18 13:23:01,2020-12-18 17:24:29,"Line damage","Akin","Wale",2020-12-18 20:36:52,"Completed","Closed","00:01:35","04:01:28","Friday"," 1PM"
"AXA-20201208-4880-VOICE","Voice","Social Media","International","IMO",2020-12-08 12:48:28,2020-12-08 12:55:58,2020-12-08 18:33:00,"Line damage","Akin","Wale",2020-12-08 23:58:51,"Completed","Closed","00:07:30","05:37:02","Tuesday","12PM"
"AXA-20201231-1872-WLESS","Wireless","Social Media","MIEC","RIVERS",2020-12-31 18:25:03,2020-12-31 18:29:20,2020-12-31 23:13:46,"Customers End","Akin","Wale",2021-01-01 14:40:27,"Completed","Closed","00:04:17","04:44:26","Thursday"," 6PM"
"AXA-20201207-4226-WLESS","Wireless","Chatbot","Blenco","IMO",2020-12-07 09:02:22,2020-12-07 09:07:30,2020-12-07 11:42:37,"hardware failure","Akin","Wale",2020-12-07 16:35:01,"Completed","Closed","00:05:08","02:35:07","Monday"," 9AM"
"AXA-20201218-5981-WLESS","Wireless","Social Media","BetSan","TARABA",2020-12-18 13:32:49,2020-12-18 13:43:17,2020-12-18 18:50:20,"Customers End","Akin","Wale",2020-12-18 23:39:16,"Completed","Closed","00:10:28","05:07:03","Friday"," 1PM"
"AXA-20201214-3074-ICS","Interconnection Services","Phone Call","ValueNaija","ANAMBRA",2020-12-14 15:58:28,2020-12-14 16:00:06,2020-12-14 17:10:22,"Line damage","Akin","Wale",2020-12-14 21:00:51,"Completed","Closed","00:01:38","01:10:16","Monday"," 3PM"
"AXA-20201221-4496-WiFi7","WiFI - 7","Chatbot","NTAS","ANAMBRA",2020-12-21 14:43:20,2020-12-21 14:51:37,2020-12-21 19:05:02,"Line damage","Akin","Wale",2020-12-21 22:32:58,"Completed","Closed","00:08:17","04:13:25","Monday"," 2PM"
"AXA-20201231-1990-WLESS","Wireless","Social Media","Jacobs","ADAMAWA",2020-12-31 22:25:03,2020-12-31 22:26:15,2020-12-31 22:34:20,"Customers End","Akin","Wale",2021-01-02 06:22:24,"Completed","Closed","00:01:12","00:08:05","Thursday","10PM"
"AXA-20201231-1366-WLESS","Wireless","Phone Call","Transnational","ANAMBRA",2020-12-31 18:38:11,2020-12-31 18:48:43,2020-12-31 19:23:50,"Customers End","Akin","Wale",2021-01-02 06:27:48,"Completed","Closed","00:10:32","00:35:07","Thursday"," 6PM"
"AXA-20201231-1706-WLESS","Wireless","Social Media","BetSan","ZAMFARA",2020-12-31 17:01:03,2020-12-31 17:03:45,2020-12-31 18:41:28,"Customers End","Akin","Wale",2021-01-01 13:24:48,"Completed","Closed","00:02:42","01:37:43","Thursday"," 5PM"
"AXA-20201213-3533-WiFi4","WiFI - 4","Chatbot","Kabo","ENUGU",2020-12-13 15:08:46,2020-12-13 15:18:12,2020-12-13 20:44:51,"Customers End","Akin","Wale",2020-12-14 01:02:27,"Completed","Closed","00:09:26","05:26:39","Sunday"," 3PM"
"AXA-20201218-4486-CBS","Cloud-based services","USSD","Denna","EKITI",2020-12-18 12:02:16,2020-12-18 12:12:30,2020-12-18 15:30:17,"Routine Service","Akin","Wale",2020-12-18 20:45:09,"Completed","Closed","00:10:14","03:17:47","Friday","12PM"
"AXA-20201213-5341-WiFi5","WiFI - 5","WebForm","NTAS","ENUGU",2020-12-13 11:33:13,2020-12-13 11:36:43,2020-12-13 14:17:45,"Line damage","Akin","Wale",2020-12-13 17:38:03,"Completed","Closed","00:03:30","02:41:02","Sunday","11AM"
"AXA-20201203-2679-C95","Cloud95","USSD","ShopLite","OSUN",2020-12-03 13:58:33,2020-12-03 14:05:14,2020-12-03 15:34:56,"Customers End","Akin","Wale",2020-12-03 20:52:52,"Completed","Closed","00:06:41","01:29:42","Thursday"," 1PM"
"AXA-20201201-5623-C100","Cloud100","Chatbot","Ultimate","OGUN",2020-12-01 10:27:18,2020-12-01 10:33:06,2020-12-01 10:33:12,"Line damage","Akin","Wale",2020-12-01 14:03:44,"Completed","Closed","00:05:48","00:00:06","Tuesday","10AM"
"AXA-20201204-2662-VOICE","Voice","WebForm","Geotextile","ANAMBRA",2020-12-04 14:10:23,2020-12-04 14:18:28,2020-12-04 15:01:48,"Customers End","Akin","Wale",2020-12-04 19:27:40,"Completed","Closed","00:08:05","00:43:20","Friday"," 2PM"
"AXA-20201231-1327-WLESS","Wireless","Social Media","Transnational","ZAMFARA",2020-12-31 23:01:03,2020-12-31 23:05:26,2020-12-31 23:09:10,"Customers End","Akin","Wale",2021-01-02 06:22:12,"Completed","Closed","00:04:23","00:03:44","Thursday","11PM"
"AXA-20201219-3148-C95","Cloud95","Email","Denna","TARABA",2020-12-19 10:30:07,2020-12-19 10:31:20,2020-12-19 12:58:33,"hardware failure","Akin","Wale",2020-12-19 18:15:12,"Completed","Closed","00:01:13","02:27:13","Saturday","10AM"
"AXA-20201212-5762-WiFi3","WiFI - 3","Phone Call","Transnational","GOMBE",2020-12-12 12:51:33,2020-12-12 12:51:44,2020-12-12 13:21:54,"hardware failure","Akin","Wale",2020-12-12 18:50:29,"Completed","Closed","00:00:11","00:30:10","Saturday","12PM"
"AXA-20201208-5416-WiFi11","WiFI - 11","Email","BetSan","BORNO",2020-12-08 09:26:41,2020-12-08 09:34:07,2020-12-08 14:09:38,"Customers End","Amelia","Kerry",2020-12-08 19:37:14,"Completed","Closed","00:07:26","04:35:31","Tuesday"," 9AM"
"AXA-20201204-3662-VOICE","Voice","Email","ROCAD","GOMBE",2020-12-04 10:22:01,2020-12-04 10:22:07,2020-12-04 14:31:25,"Customers End","Amelia","Kerry",2020-12-04 20:04:57,"Completed","Closed","00:00:06","04:09:18","Friday","10AM"
"AXA-20201230-1427-HSE","High speed Internet","Social Media","Best Land","ANAMBRA",2020-12-30 18:10:04,2020-12-30 18:11:43,2020-12-30 22:31:01,"Customers End","Amelia","Kerry",2020-12-31 07:09:33,"Completed","Closed","00:01:39","04:19:18","Wednesday"," 6PM"
"AXA-20201217-3320-WiFi7","WiFI - 7","Chatbot","Jacobs","SOKOTO",2020-12-17 08:19:42,2020-12-17 08:26:11,2020-12-17 13:46:54,"Routine Service","Amelia","Kerry",2020-12-17 17:34:13,"Completed","Closed","00:06:29","05:20:43","Thursday"," 8AM"
"AXA-20201220-3976-ICS","Interconnection Services","USSD","Goodies","KOGI",2020-12-20 12:20:44,2020-12-20 12:29:18,2020-12-20 15:08:05,"Line damage","Amelia","Kerry",2020-12-20 19:53:25,"Completed","Closed","00:08:34","02:38:47","Sunday","12PM"
"AXA-20201221-4293-C100","Cloud100","Phone Call","BetSan","FCT ABUJA",2020-12-21 13:04:43,2020-12-21 13:10:05,2020-12-21 15:51:23,"Customers End","Amelia","Kerry",2020-12-21 20:25:39,"Completed","Closed","00:05:22","02:41:18","Monday"," 1PM"
"AXA-20201202-2403-VOICE","Voice","Phone Call","BetSan","GOMBE",2020-12-02 13:11:15,2020-12-02 13:14:49,2020-12-02 15:24:00,"Customers End","Amelia","Kerry",2020-12-02 19:14:37,"Completed","Closed","00:03:34","02:09:11","Wednesday"," 1PM"
"AXA-20201226-2720-MCON","M Connect","Social Media","Union","NASARAWA",2020-12-26 09:19:03,2020-12-26 09:22:10,2020-12-26 14:30:43,"Customers End","Amelia","Kerry",2020-12-26 19:19:21,"Completed","Closed","00:03:07","05:08:33","Saturday"," 9AM"
"AXA-20201230-1247-WLESS","Wireless","Social Media","Berger","RIVERS",2020-12-30 17:52:04,2020-12-30 17:59:11,2020-12-30 23:39:17,"Customers End","Amelia","Kerry",2020-12-31 20:06:42,"Completed","Closed","00:07:07","05:40:06","Wednesday"," 5PM"
"AXA-20201205-4204-MAC","Metro Area Connect","Social Media","Cassava","KANO",2020-12-05 15:21:57,2020-12-05 15:32:33,2020-12-05 15:44:37,"Customers End","Amelia","Kerry",2020-12-05 19:39:04,"Completed","Closed","00:10:36","00:12:04","Saturday"," 3PM"
"AXA-20201231-1332-WLESS","Wireless","Social Media","Transnational","GOMBE",2020-12-31 00:08:03,2020-12-31 00:17:27,2020-12-31 02:23:11,"Customers End","Amelia","Kerry",2020-12-31 21:28:10,"Completed","Closed","00:09:24","02:05:44","Thursday","12AM"
"AXA-20201218-3404-ICS","Interconnection Services","Social Media","ACCNI","PLATEAU",2020-12-18 09:10:34,2020-12-18 09:13:17,2020-12-18 14:56:38,"Line damage","Amelia","Kerry",2020-12-18 20:14:13,"Completed","Closed","00:02:43","05:43:21","Friday"," 9AM"
"AXA-20201227-5236-HSE","High speed Internet","USSD","ShopLite","SOKOTO",2020-12-27 13:15:06,2020-12-27 13:24:52,2020-12-27 14:45:20,"Customers End","Amelia","Kerry",2020-12-27 18:21:40,"Completed","Closed","00:09:46","01:20:28","Sunday"," 1PM"
"AXA-20201220-2715-WiFi7","WiFI - 7","Chatbot","Transnational","OYO",2020-12-20 10:01:51,2020-12-20 10:10:12,2020-12-20 15:49:50,"Customers End","Amelia","Kerry",2020-12-20 19:26:01,"Completed","Closed","00:08:21","05:39:38","Sunday","10AM"
"AXA-20201230-1211-HSE","High speed Internet","Social Media","Jiji","YOBE",2020-12-30 17:40:04,2020-12-30 17:40:28,2020-12-30 17:56:45,"Routine Service","Amelia","Kerry",2021-01-02 06:40:16,"Completed","Closed","00:00:24","00:16:17","Wednesday"," 5PM"
"AXA-20201208-4821-WiFi5","WiFI - 5","Social Media","ROCAD","ANAMBRA",2020-12-08 09:08:40,2020-12-08 09:18:49,2020-12-08 13:49:11,"Customers End","Amelia","Kerry",2020-12-08 17:35:49,"Completed","Closed","00:10:09","04:30:22","Tuesday"," 9AM"
"AXA-20201203-5973-WiFi6","WiFI - 6","Social Media","Dang","LAGOS",2020-12-03 13:54:16,2020-12-03 14:01:24,2020-12-03 18:37:28,"Customers End","Amelia","Kerry",2020-12-03 23:29:04,"Completed","Closed","00:07:08","04:36:04","Thursday"," 1PM"
"AXA-20201205-5564-WiFi4","WiFI - 4","Email","Goodies","NIGER",2020-12-05 11:42:31,2020-12-05 11:51:05,2020-12-05 15:02:52,"hardware failure","Amelia","Kerry",2020-12-05 20:33:35,"Completed","Closed","00:08:34","03:11:47","Saturday","11AM"
"AXA-20201230-1559-VOICE","Voice","Social Media","Sahad","OGUN",2020-12-30 18:22:03,2020-12-30 18:28:47,2020-12-30 20:52:03,"Line damage","Amelia","Kerry",2020-12-31 07:05:45,"Completed","Closed","00:06:44","02:23:16","Wednesday"," 6PM"
"AXA-20201229-1840-CBS","Cloud-based services","Social Media","Budelak","OYO",2020-12-29 14:49:18,2020-12-29 14:52:28,2020-12-29 18:20:48,"Line damage","Amelia","Kerry",2020-12-29 16:52:55,"Completed","Closed","00:03:10","03:28:20","Tuesday"," 2PM"
"AXA-20201230-1966-WLESS","Wireless","Social Media","International","DELTA",2020-12-30 18:49:04,2020-12-30 18:51:28,2020-12-30 22:06:46,"Customers End","Amelia","Kerry",2020-12-30 22:27:02,"Completed","Closed","00:02:24","03:15:18","Wednesday"," 6PM"
"AXA-20201207-2404-MCON","M Connect","Chatbot","WetinLas","OGUN",2020-12-07 13:05:42,2020-12-07 13:08:49,2020-12-07 18:26:54,"Line damage","Amelia","Kerry",2020-12-07 21:46:23,"Completed","Closed","00:03:07","05:18:05","Monday"," 1PM"
"AXA-20201213-4175-HSE","High speed Internet","Social Media","Dan","DELTA",2020-12-13 08:46:33,2020-12-13 08:46:48,2020-12-13 09:49:05,"Customers End","Amelia","Kerry",2020-12-13 13:11:50,"Completed","Closed","00:00:15","01:02:17","Sunday"," 8AM"
"AXA-20201205-3318-WiFi5","WiFI - 5","WebForm","Wichtech","OYO",2020-12-05 15:39:32,2020-12-05 15:40:03,2020-12-05 17:13:28,"Customers End","Amelia","Kerry",2020-12-05 21:01:50,"Completed","Closed","00:00:31","01:33:25","Saturday"," 3PM"
"AXA-20201223-4715-MCON","M Connect","Social Media","Kalek","FCT ABUJA",2020-12-23 15:22:59,2020-12-23 15:23:14,2020-12-23 18:58:22,"Customers End","Amelia","Kerry",2020-12-23 23:26:38,"Completed","Closed","00:00:15","03:35:08","Wednesday"," 3PM"
"AXA-20201230-1136-WLESS","Wireless","Social Media","Cassava","RIVERS",2020-12-30 18:22:30,2020-12-30 18:24:54,2020-12-30 21:54:26,"hardware failure","Amelia","Kerry",2020-12-30 23:04:29,"Completed","Closed","00:02:24","03:29:32","Wednesday"," 6PM"
"AXA-20201201-5086-MAC","Metro Area Connect","WebForm","Dan","PLATEAU",2020-12-01 14:18:40,2020-12-01 14:21:57,2020-12-01 15:53:16,"Routine Service","Amelia","Kerry",2020-12-01 19:31:46,"Completed","Closed","00:03:17","01:31:19","Tuesday"," 2PM"
"AXA-20201218-5969-WiFi6","WiFI - 6","Email","Union","BAUCHI",2020-12-18 12:23:00,2020-12-18 12:28:18,2020-12-18 13:56:56,"Customers End","Amelia","Kerry",2020-12-18 17:50:35,"Completed","Closed","00:05:18","01:28:38","Friday","12PM"
"AXA-20201230-1134-WLESS","Wireless","Social Media","Cassava","KANO",2020-12-30 21:34:06,2020-12-30 21:34:25,2020-12-31 01:00:04,"Customers End","Amelia","Kerry",2020-12-31 07:54:14,"Completed","Closed","00:00:19","03:25:39","Wednesday"," 9PM"
"AXA-20201208-4533-MCON","M Connect","Chatbot","Sahad","GOMBE",2020-12-08 10:57:45,2020-12-08 11:01:20,2020-12-08 14:18:53,"Line damage","Amelia","Kerry",2020-12-08 19:02:20,"Completed","Closed","00:03:35","03:17:33","Tuesday","10AM"
"AXA-20201209-4520-ICS","Interconnection Services","USSD","Comvicong","ONDO",2020-12-09 09:42:27,2020-12-09 09:48:04,2020-12-09 15:00:26,"Customers End","Amelia","Kerry",2020-12-09 18:50:11,"Completed","Closed","00:05:37","05:12:22","Wednesday"," 9AM"
"AXA-20201221-2850-ICS","Interconnection Services","Phone Call","Allied","BORNO",2020-12-21 13:50:48,2020-12-21 13:51:30,2020-12-21 18:16:40,"Customers End","Amelia","Kerry",2020-12-21 23:10:07,"Completed","Closed","00:00:42","04:25:10","Monday"," 1PM"
"AXA-20201215-3872-WiFi5","WiFI - 5","WebForm","Lemway","ANAMBRA",2020-12-15 11:33:17,2020-12-15 11:36:59,2020-12-15 15:21:31,"Customers End","Amelia","Kerry",2020-12-15 21:10:18,"Completed","Closed","00:03:42","03:44:32","Tuesday","11AM"
"AXA-20201208-4505-HSE","High speed Internet","WebForm","FoodCo","NASARAWA",2020-12-08 11:56:00,2020-12-08 12:04:08,2020-12-08 13:34:27,"Customers End","Amelia","Kerry",2020-12-08 19:04:12,"Completed","Closed","00:08:08","01:30:19","Tuesday","11AM"
"AXA-20201230-2033-HSE","High speed Internet","Social Media","Zeenab","DELTA",2020-12-30 16:13:11,2020-12-30 16:16:57,2020-12-30 16:54:00,"Customers End","Amelia","Kerry",2021-01-02 06:32:16,"Completed","Closed","00:03:46","00:37:03","Wednesday"," 4PM"
"AXA-20201211-5068-WiFi7","WiFI - 7","WebForm","Jiji","TARABA",2020-12-11 13:40:39,2020-12-11 13:47:53,2020-12-11 14:33:13,"Line damage","Amelia","Kerry",2020-12-11 18:06:54,"Completed","Closed","00:07:14","00:45:20","Friday"," 1PM"
"AXA-20201218-5786-WiFi5","WiFI - 5","WebForm","SupaTram","GOMBE",2020-12-18 15:48:53,2020-12-18 15:59:16,2020-12-18 19:31:52,"Customers End","Amelia","Kerry",2020-12-18 22:47:36,"Completed","Closed","00:10:23","03:32:36","Friday"," 3PM"
"AXA-20201228-2306-ICS","Interconnection Services","USSD","Dan","EKITI",2020-12-28 09:55:59,2020-12-28 09:57:19,2020-12-28 11:20:26,"Routine Service","Amelia","Kerry",2020-12-28 16:43:11,"Completed","Closed","00:01:20","01:23:07","Monday"," 9AM"
"AXA-20201230-1806-HSE","High speed Internet","Social Media","PWAN","RIVERS",2020-12-30 18:01:03,2020-12-30 18:03:41,2020-12-30 18:10:43,"Customers End","Amelia","Kerry",2020-12-31 07:22:16,"Completed","Closed","00:02:38","00:07:02","Wednesday"," 6PM"
"AXA-20201226-3622-WiFi5","WiFI - 5","WebForm","ValueNaija","GOMBE",2020-12-26 11:30:04,2020-12-26 11:33:45,2020-12-26 11:39:31,"Customers End","Amelia","Kerry",2020-12-26 17:16:18,"Completed","Closed","00:03:41","00:05:46","Saturday","11AM"
"AXA-20201229-1294-WLESS","Wireless","Social Media","ROCAD","ANAMBRA",2020-12-29 19:16:03,2020-12-29 19:16:12,2020-12-30 00:54:31,"Routine Service","Amelia","Kerry",2020-12-30 13:15:19,"Completed","Closed","00:00:09","05:38:19","Tuesday"," 7PM"
"AXA-20201207-4349-HSE","High speed Internet","WebForm","Sahad","ABIA",2020-12-07 09:26:16,2020-12-07 09:27:39,2020-12-07 13:01:15,"hardware failure","Amelia","Kerry",2020-12-07 16:45:00,"Completed","Closed","00:01:23","03:33:36","Monday"," 9AM"
"AXA-20201206-2369-WiFi7","WiFI - 7","Email","ValueNaija","KOGI",2020-12-06 13:35:21,2020-12-06 13:46:02,2020-12-06 13:57:06,"Customers End","Amelia","Kerry",2020-12-06 18:43:34,"Completed","Closed","00:10:41","00:11:04","Sunday"," 1PM"
"AXA-20201202-2216-WiFi5","WiFI - 5","WebForm","SupaTram","IMO",2020-12-02 15:36:14,2020-12-02 15:43:45,2020-12-02 19:55:51,"hardware failure","Amelia","Kerry",2020-12-03 00:08:32,"Completed","Closed","00:07:31","04:12:06","Wednesday"," 3PM"
"AXA-20201218-4058-C100","Cloud100","WebForm","BetSan","YOBE",2020-12-18 08:12:37,2020-12-18 08:18:01,2020-12-18 11:25:47,"Customers End","Amelia","Kerry",2020-12-18 16:42:26,"Completed","Closed","00:05:24","03:07:46","Friday"," 8AM"
"AXA-20201231-1904-WLESS","Wireless","Social Media","Wazpper","BAUCHI",2020-12-31 17:04:08,2020-12-31 17:11:32,2020-12-31 22:19:43,"Line damage","Amelia","Kerry",2020-12-31 22:35:35,"Completed","Closed","00:07:24","05:08:11","Thursday"," 5PM"
"AXA-20201201-5590-HSE","High speed Internet","Social Media","Ultimate","GOMBE",2020-12-01 08:04:11,2020-12-01 08:09:56,2020-12-01 12:16:41,"Customers End","Amelia","Kerry",2020-12-01 17:44:06,"Completed","Closed","00:05:45","04:06:45","Tuesday"," 8AM"
"AXA-20201210-3112-WiFi8","WiFI - 8","WebForm","BetSan","KANO",2020-12-10 09:13:42,2020-12-10 09:17:01,2020-12-10 13:25:35,"Line damage","Amelia","Kerry",2020-12-10 18:04:50,"Completed","Closed","00:03:19","04:08:34","Thursday"," 9AM"
"AXA-20201201-4014-C100","Cloud100","WebForm","TwinsDeck","SOKOTO",2020-12-01 14:50:39,2020-12-01 15:00:25,2020-12-01 16:05:59,"hardware failure","Amelia","Kerry",2020-12-01 21:32:37,"Completed","Closed","00:09:46","01:05:34","Tuesday"," 2PM"
"AXA-20201214-4801-MCON","M Connect","Phone Call","Spreadweb","ANAMBRA",2020-12-14 12:50:20,2020-12-14 12:59:02,2020-12-14 13:24:18,"Support network failures","Amelia","Kerry",2020-12-14 16:45:47,"Completed","Closed","00:08:42","00:25:16","Monday","12PM"
"AXA-20201208-2440-WLESS","Wireless","Phone Call","Jiji","NIGER",2020-12-08 12:54:13,2020-12-08 13:02:27,2020-12-08 16:05:57,"Customers End","Amelia","Kerry",2020-12-08 19:27:24,"Completed","Closed","00:08:14","03:03:30","Tuesday","12PM"
"AXA-20201202-3012-WiFi8","WiFI - 8","USSD","Sahad","BORNO",2020-12-02 15:27:01,2020-12-02 15:32:08,2020-12-02 18:10:26,"Customers End","Amelia","Kerry",2020-12-02 22:22:41,"Completed","Closed","00:05:07","02:38:18","Wednesday"," 3PM"
"AXA-20201231-1803-HSE","High speed Internet","Social Media","PWAN","NASARAWA",2020-12-31 18:40:04,2020-12-31 18:41:12,2020-12-31 23:26:23,"Line damage","Amelia","Kerry",2020-12-31 23:12:14,"Completed","Closed","00:01:08","04:45:11","Thursday"," 6PM"
"AXA-20201229-1389-CBS","Cloud-based services","USSD","Union","DELTA",2020-12-29 14:25:19,2020-12-29 14:34:47,2020-12-29 14:58:59,"Customers End","Amelia","Kerry",2020-12-30 13:26:47,"Completed","Closed","00:09:28","00:24:12","Tuesday"," 2PM"
"AXA-20201204-3072-WiFi5","WiFI - 5","Email","Dan","DELTA",2020-12-04 12:23:45,2020-12-04 12:32:07,2020-12-04 16:44:42,"Customers End","Amelia","Kerry",2020-12-04 21:17:29,"Completed","Closed","00:08:22","04:12:35","Friday","12PM"
"AXA-20201214-4498-ICS","Interconnection Services","USSD","Jiji","GOMBE",2020-12-14 08:41:37,2020-12-14 08:45:08,2020-12-14 09:00:24,"Support network failures","Amelia","Kerry",2020-12-14 13:18:07,"Completed","Closed","00:03:31","00:15:16","Monday"," 8AM"
"AXA-20201204-2478-WiFi8","WiFI - 8","Email","Sahad","KWARA",2020-12-04 12:56:05,2020-12-04 12:57:29,2020-12-04 18:41:43,"Customers End","Amelia","Kerry",2020-12-05 00:06:59,"Completed","Closed","00:01:24","05:44:14","Friday","12PM"
"AXA-20201206-5774-WiFi9","WiFI - 9","Phone Call","ROCAD","KWARA",2020-12-06 14:42:49,2020-12-06 14:53:12,2020-12-06 19:38:46,"Line damage","Amelia","Kerry",2020-12-06 22:58:28,"Completed","Closed","00:10:23","04:45:34","Sunday"," 2PM"
"AXA-20201220-5274-WiFi10","WiFI - 10","Social Media","ShopLite","DELTA",2020-12-20 11:14:32,2020-12-20 11:15:10,2020-12-20 16:58:36,"Customers End","Amelia","Kerry",2020-12-20 21:14:01,"Completed","Closed","00:00:38","05:43:26","Sunday","11AM"
"AXA-20201213-2441-WiFi4","WiFI - 4","WebForm","MIEC","RIVERS",2020-12-13 12:01:47,2020-12-13 12:11:26,2020-12-13 15:11:43,"Customers End","Amelia","Kerry",2020-12-13 20:42:30,"Completed","Closed","00:09:39","03:00:17","Sunday","12PM"
"AXA-20201205-3822-WiFi3","WiFI - 3","Email","SupaTram","SOKOTO",2020-12-05 15:47:30,2020-12-05 15:55:53,2020-12-05 19:19:20,"Customers End","Amelia","Kerry",2020-12-06 00:41:09,"Completed","Closed","00:08:23","03:23:27","Saturday"," 3PM"
"AXA-20201227-4375-WLESS","Wireless","WebForm","Jacobs","RIVERS",2020-12-27 15:29:34,2020-12-27 15:36:14,2020-12-27 18:14:55,"Customers End","Amelia","Kerry",2020-12-27 22:09:21,"Completed","Closed","00:06:40","02:38:41","Sunday"," 3PM"
"AXA-20201226-3717-WiFi6","WiFI - 6","Email","BetSan","ANAMBRA",2020-12-26 11:39:15,2020-12-26 11:48:57,2020-12-26 13:30:17,"Routine Service","Amelia","Kerry",2020-12-26 17:22:37,"Completed","Closed","00:09:42","01:41:20","Saturday","11AM"
