start_time,end_time,hhid,account_num,account_type,weight,district,urban,gender,age,hh_members,highest_grade_completed,mm_account_cancelled,prefer_cash,mm_trust,mm_account_telco,mm_account_telco_main,v234,agent_trust,v236,v237,v238,v240,v241,v242,v243,v244,v245,v246
"Oct 28, 2019 2:26:57 PM","Oct 28, 2019 3:32:05 PM",1045,1,Mobile Money,229.13024,District_C,Rural,female,65,4,primary 6,no,yes,no,Company_A Company_B,Company_B,no,,,yes,no,no,no,no,no,,no,no
"Oct 28, 2019 8:56:54 AM","Oct 28, 2019 10:26:28 AM",1045,2,SACCO Account,229.13024,District_C,Rural,female,65,4,primary 6,no,yes,no,Company_A Company_B,Company_B,no,,,yes,no,no,no,no,no,,no,no
"Oct 28, 2019 10:31:53 AM","Oct 28, 2019 11:56:36 AM",1046,1,Mobile Money,367.52935,District_B,Rural,female,35,4,primary 1,no,yes,yes,Company_B,,yes,,,yes,yes,yes,yes,yes,no,,no,no
"Oct 28, 2019 12:11:48 PM","Oct 28, 2019 1:27:50 PM",1046,2,SACCO Account,367.52935,District_B,Rural,female,35,4,primary 1,no,yes,yes,Company_B,,yes,,,yes,yes,yes,yes,yes,no,,no,no
"Oct 28, 2019 1:47:14 PM","Oct 28, 2019 2:55:42 PM",1046,3,VSLA Account,367.52935,District_B,Rural,female,35,4,primary 1,no,yes,yes,Company_B,,yes,,,yes,yes,yes,yes,yes,no,,no,no
"Oct 28, 2019 9:38:09 AM","Oct 28, 2019 11:13:13 AM",1047,1,Mobile Money,196.72117,District_C,Rural,male,31,6,tvet,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,yes,,yes,no
"Oct 28, 2019 11:18:02 AM","Oct 28, 2019 1:08:57 PM",1047,2,Bank Account,196.72117,District_C,Rural,male,31,6,tvet,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,yes,,yes,no
"Oct 28, 2019 1:16:21 PM","Oct 28, 2019 2:55:49 PM",1047,3,VSLA Account,196.72117,District_C,Rural,male,31,6,tvet,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,yes,,yes,no
"Oct 28, 2019 3:04:57 PM","Oct 28, 2019 4:49:41 PM",1048,1,SACCO Account,1125.6099,District_B,Rural,female,60,3,,no,yes,no,,,,,,,,,,,,,,
"Oct 28, 2019 11:32:39 AM","Oct 28, 2019 12:50:44 PM",1048,2,VSLA Account,1125.6099,District_B,Rural,female,60,3,,no,yes,no,,,,,,,,,,,,,,
"Oct 28, 2019 12:52:55 PM","Oct 28, 2019 1:39:56 PM",1049,1,SACCO Account,1169.0894,District_C,Rural,female,47,7,primary 6,no,yes,,,,,,,,,,,,,,,
"Oct 28, 2019 9:35:01 AM","Oct 28, 2019 11:43:55 AM",1049,2,VSLA Account,1169.0894,District_C,Rural,female,47,7,primary 6,no,yes,,,,,,,,,,,,,,,
"Oct 28, 2019 1:53:04 PM","Oct 28, 2019 3:09:34 PM",1050,1,VSLA Account,801.16089,District_C,Rural,female,48,2,,yes,yes,no,,,,,,no,yes,no,,,no,,no,no
"Oct 28, 2019 3:12:05 PM","Oct 28, 2019 4:39:17 PM",1051,1,SACCO Account,239.47429,District_C,Rural,male,58,3,primary 6,yes,yes,yes,,,,,,,,,,,,,,
"Oct 28, 2019 4:43:47 PM","Oct 28, 2019 5:47:01 PM",1051,2,VSLA Account,239.47429,District_C,Rural,male,58,3,primary 6,yes,yes,yes,,,,,,,,,,,,,,
"Oct 28, 2019 5:52:55 PM","Oct 28, 2019 7:02:13 PM",1052,1,Mobile Money,578.75569,District_B,Rural,male,23,5,primary 6,no,yes,no,Company_A Company_C,Company_A,yes,no,,yes,yes,no,no,no,no,,no,no
"Oct 28, 2019 9:37:20 AM","Oct 28, 2019 11:24:40 AM",1052,2,VSLA Account,578.75569,District_B,Rural,male,23,5,primary 6,no,yes,no,Company_A Company_C,Company_A,yes,no,,yes,yes,no,no,no,no,,no,no
"Oct 28, 2019 2:08:56 PM","Oct 28, 2019 3:44:06 PM",1053,1,Mobile Money,112.18478,District_B,Rural,female,72,2,,no,yes,no,Company_B,,no,,,no,yes,no,no,no,no,,no,no
"Oct 28, 2019 3:48:19 PM","Oct 28, 2019 5:33:15 PM",1053,2,VSLA Account,112.18478,District_B,Rural,female,72,2,,no,yes,no,Company_B,,no,,,no,yes,no,no,no,no,,no,no
"Oct 28, 2019 10:06:42 AM","Oct 28, 2019 11:13:04 AM",1054,1,None,1702.2592,District_B,Rural,female,28,2,,no,yes,no,,,,,,,,,,,,,,
"Oct 28, 2019 5:43:56 PM","Oct 28, 2019 7:00:37 PM",1055,1,Mobile Money,853.47925,District_C,Rural,female,21,8,secondary 3,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,yes,,no,no
"Oct 28, 2019 11:22:26 AM","Oct 28, 2019 12:39:39 PM",1055,2,VSLA Account,853.47925,District_C,Rural,female,21,8,secondary 3,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,yes,,no,no
"Oct 28, 2019 4:19:50 PM","Oct 28, 2019 5:20:29 PM",1056,1,Mobile Money,284.43826,District_A,Urban,male,25,8,primary 6,no,yes,no,Company_A Company_B Company_C,Company_A,yes,no,no,no,no,no,yes,no,yes,,yes,no
"Oct 28, 2019 1:07:06 PM","Oct 28, 2019 2:13:30 PM",1056,2,VSLA Account,284.43826,District_A,Urban,male,25,8,primary 6,no,yes,no,Company_A Company_B Company_C,Company_A,yes,no,no,no,no,no,yes,no,yes,,yes,no
"Oct 28, 2019 2:24:34 PM","Oct 28, 2019 3:55:41 PM",1057,1,VSLA Account,521.87367,District_B,Rural,male,33,6,,no,yes,no,,,,,,,,,,,,,,
"Oct 28, 2019 8:53:18 AM","Oct 28, 2019 10:12:16 AM",1058,1,SACCO Account,63.637037,District_A,Urban,female,66,7,primary 4,yes,no,,,,,,,,,,,,,,,
"Oct 28, 2019 12:13:27 PM","Oct 28, 2019 1:27:12 PM",1059,1,Mobile Money,283.23302,District_A,Urban,male,32,2,primary 3,no,yes,no,Company_A Company_B,Company_A,yes,no,,no,yes,no,yes,no,yes,yes,no,no
"Oct 28, 2019 1:39:58 PM","Oct 28, 2019 3:05:56 PM",1060,1,Mobile Money,291.88889,District_A,Urban,female,62,3,secondary 3,no,yes,no,Company_A,,no,no,,yes,yes,no,yes,yes,yes,,no,no
"Oct 28, 2019 10:04:32 AM","Oct 28, 2019 11:28:56 AM",1060,2,Bank Account,291.88889,District_A,Urban,female,62,3,secondary 3,no,yes,no,Company_A,,no,no,,yes,yes,no,yes,yes,yes,,no,no
"Oct 28, 2019 11:34:11 AM","Oct 28, 2019 12:43:47 PM",1060,3,SACCO Account,291.88889,District_A,Urban,female,62,3,secondary 3,no,yes,no,Company_A,,no,no,,yes,yes,no,yes,yes,yes,,no,no
"Oct 28, 2019 12:52:05 PM","Oct 28, 2019 2:09:01 PM",1060,4,VSLA Account,291.88889,District_A,Urban,female,62,3,secondary 3,no,yes,no,Company_A,,no,no,,yes,yes,no,yes,yes,yes,,no,no
"Oct 28, 2019 4:08:18 PM","Oct 28, 2019 5:18:07 PM",1061,1,Mobile Money,308.39283,District_C,Rural,male,31,4,primary 6,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,yes,,no,no
"Oct 28, 2019 5:22:34 PM","Oct 28, 2019 6:23:19 PM",1061,2,SACCO Account,308.39283,District_C,Rural,male,31,4,primary 6,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,yes,,no,no
"Oct 28, 2019 10:48:04 AM","Oct 28, 2019 12:47:28 PM",1061,3,VSLA Account,308.39283,District_C,Rural,male,31,4,primary 6,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,yes,,no,no
"Oct 28, 2019 12:47:59 PM","Oct 28, 2019 2:27:04 PM",1062,1,Bank Account,2089.3462,District_C,Rural,female,51,3,,no,yes,no,,,,,,,,,,,,,,
"Oct 28, 2019 2:44:17 PM","Oct 28, 2019 4:14:13 PM",1062,3,SACCO Account,2089.3462,District_C,Rural,female,51,3,,no,yes,no,,,,,,,,,,,,,,
"Oct 28, 2019 4:16:44 PM","Oct 28, 2019 5:39:14 PM",1062,4,VSLA Account,2089.3462,District_C,Rural,female,51,3,,no,yes,no,,,,,,,,,,,,,,
"Oct 28, 2019 4:17:21 PM","Oct 28, 2019 5:40:55 PM",1063,1,None,180.51396,District_A,Urban,female,28,5,primary 6,yes,yes,no,,,,,,yes,yes,no,yes,no,yes,,no,no
"Oct 28, 2019 5:48:06 PM","Oct 28, 2019 6:38:13 PM",1064,1,Mobile Money,281.29524,District_A,Rural,female,30,6,primary 3,no,yes,no,Company_B Company_C,Company_B,yes,no,,yes,yes,no,yes,no,yes,,no,no
